Linda Rodriquez
Mae Rose
Frank Ortiz
Rufus Matthews
Bradford Poole
Susan Santos
Mercedes Horton
Leslie Ballard
Oscar Brewer
Marta Garza
Sherry Cannon
Nettie Roberson
Nicolas Hernandez
Justin Nguyen
Neil Cortez
Elijah Welch
Hector Goodwin
Ian Floyd
Betty Schmidt
Vincent Todd
Pedro Washington
Jodi Copeland
Mack Martinez
Wilson Austin
Deanna Mcdonald
Elmer Carroll
Delbert Day
Patty Houston
Marlene Turner
Charles Ortiz
Cedric Banks
Fred Valdez
Viola Ramirez
Bradford Fields
Ramon Rowe
Jimmie Collier
Rhonda Price
Marlene Benson
Boyd Shelton
Preston Day
Oscar Higgins
Gabriel Tate
Frank Hart
Willie Carter
Elmer Bailey
Rufus Mckenzie
Hugh Morales
Pedro Young
Melody Mcgee
Elmer White
